,FTR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,BbAvH,BbAvD,BbAvA
95,3,4.0,3.8,1.95,3.91,3.74,2.01,4.0,3.2,2.0,3.81,3.61,1.97
96,1,3.4,3.5,2.25,3.58,3.42,2.23,3.5,3.0,2.25,3.38,3.32,2.22
97,2,2.05,3.6,3.8,2.08,3.56,3.87,2.1,3.3,3.9,2.05,3.43,3.74
98,2,2.6,3.5,2.8,2.59,3.41,2.93,2.7,3.2,2.88,2.57,3.35,2.8
99,3,2.6,3.4,2.9,2.57,3.41,2.96,2.62,3.1,3.0,2.53,3.31,2.86
100,1,2.1,3.5,3.75,2.07,3.54,3.92,2.1,3.2,3.75,2.07,3.36,3.73
101,2,3.8,3.5,2.1,4.02,3.46,2.08,4.0,3.0,2.1,3.77,3.35,2.06
102,3,1.29,6.0,12.0,1.3,6.22,11.03,1.29,5.0,12.0,1.28,5.81,10.45
103,2,2.4,3.4,3.2,2.39,3.43,3.24,2.4,3.1,3.1,2.35,3.31,3.12
104,1,5.0,4.0,1.75,5.05,3.93,1.76,5.0,3.5,1.75,4.8,3.82,1.73
105,3,2.6,3.4,2.9,2.6,3.38,2.94,2.62,3.1,2.8,2.52,3.28,2.87
106,1,2.9,3.4,2.6,2.84,3.36,2.7,2.9,3.0,2.62,2.82,3.25,2.58
107,3,1.5,4.5,7.5,1.49,4.61,7.5,1.53,3.8,7.0,1.49,4.31,7.06
108,3,1.55,4.33,6.5,1.55,4.37,6.88,1.57,3.8,6.0,1.54,4.17,6.29
109,3,1.44,4.75,8.0,1.43,4.8,9.0,1.44,4.2,8.0,1.42,4.52,8.11
110,1,2.25,3.5,3.4,2.18,3.56,3.57,2.25,3.1,3.4,2.2,3.44,3.3
111,3,1.85,3.8,4.5,1.88,3.79,4.43,1.83,3.2,4.33,1.84,3.67,4.3
112,3,1.33,5.25,12.0,1.34,5.25,12.05,1.36,4.0,12.0,1.33,4.91,10.69
113,3,2.45,3.4,3.1,2.46,3.47,3.06,2.5,3.1,2.9,2.45,3.31,2.94
114,3,3.8,3.6,2.05,3.96,3.51,2.07,3.75,3.1,2.1,3.74,3.38,2.06
115,1,4.75,3.8,1.8,4.79,3.81,1.82,5.0,3.2,1.8,4.63,3.66,1.78
116,2,2.6,3.5,2.8,2.58,3.49,2.89,2.62,3.1,2.8,2.53,3.4,2.78
117,2,1.73,4.0,5.0,1.7,4.18,5.21,1.75,3.4,5.0,1.69,3.95,4.85
118,2,7.5,5.0,1.44,8.15,4.93,1.44,8.0,4.0,1.44,7.29,4.58,1.44
119,1,1.67,3.8,6.0,1.68,3.99,5.73,1.7,3.2,6.0,1.66,3.8,5.39
120,3,1.4,5.0,9.0,1.43,4.86,8.78,1.4,4.5,8.0,1.42,4.62,8.04
121,3,1.57,4.2,6.5,1.57,4.2,6.8,1.57,3.8,6.0,1.57,4.0,6.21
122,1,1.7,4.0,5.5,1.67,4.15,5.56,1.7,3.5,5.5,1.66,3.94,5.28
123,1,2.88,3.6,2.5,2.85,3.55,2.58,2.75,3.25,2.6,2.79,3.44,2.51
124,1,1.57,4.0,7.0,1.61,4.06,6.5,1.62,3.5,6.5,1.59,3.88,6.23
125,2,1.91,3.6,4.5,1.91,3.59,4.6,1.95,3.1,4.5,1.89,3.47,4.34
126,1,4.33,3.4,2.0,4.14,3.38,2.07,4.0,3.1,2.05,4.07,3.29,2.01
127,3,7.0,4.33,1.53,6.68,4.29,1.57,6.5,4.0,1.53,6.4,4.18,1.54
128,3,1.57,4.2,6.5,1.55,4.43,6.78,1.6,3.75,6.0,1.55,4.15,6.22
129,1,1.57,4.0,7.0,1.56,4.31,6.77,1.6,3.4,7.0,1.55,3.99,6.5
130,1,2.75,3.3,2.8,2.77,3.25,2.85,2.7,3.1,2.7,2.69,3.13,2.79
131,2,2.9,3.6,2.5,2.95,3.53,2.51,2.9,3.2,2.5,2.87,3.41,2.45
132,3,1.7,3.9,5.5,1.69,4.04,5.53,1.73,3.5,5.0,1.69,3.83,5.09
133,2,3.1,3.5,2.4,3.26,3.45,2.36,3.1,3.1,2.4,3.13,3.35,2.34
134,3,1.6,4.33,6.0,1.58,4.4,6.28,1.57,3.8,6.0,1.57,4.19,5.9
135,3,3.2,3.3,2.45,3.16,3.28,2.51,3.1,3.1,2.4,3.1,3.19,2.41
136,3,1.44,4.75,8.0,1.48,4.55,7.95,1.5,4.0,7.0,1.46,4.37,7.36
137,2,6.0,4.2,1.62,5.62,4.34,1.63,5.5,4.0,1.57,5.51,4.15,1.6
138,2,2.6,3.4,2.9,2.58,3.49,2.89,2.5,3.2,2.9,2.54,3.34,2.81
139,2,2.05,3.5,4.0,2.1,3.41,3.98,2.05,3.3,3.75,2.05,3.33,3.83
140,3,1.29,6.0,13.0,1.28,6.14,13.53,1.29,5.0,12.0,1.27,5.76,12.07
141,1,1.36,5.25,9.5,1.38,5.23,9.75,1.36,4.5,9.0,1.37,4.91,8.83
142,2,1.44,4.5,9.0,1.43,4.7,9.06,1.44,3.8,9.0,1.43,4.38,8.4
143,2,1.5,4.5,7.5,1.52,4.37,7.57,1.53,3.6,7.5,1.49,4.17,7.13
144,3,5.25,4.0,1.7,5.25,4.06,1.71,5.5,3.4,1.7,5.07,3.87,1.69
145,1,2.7,3.4,2.75,2.68,3.44,2.8,2.8,3.1,2.62,2.66,3.35,2.68
146,3,2.15,3.5,3.6,2.16,3.48,3.7,2.15,3.1,3.6,2.13,3.36,3.52
147,2,4.75,3.6,1.85,4.75,3.69,1.85,4.5,3.1,1.91,4.45,3.5,1.86
148,3,5.75,4.33,1.62,5.75,4.35,1.62,5.5,3.75,1.62,5.58,4.1,1.6
149,2,2.1,3.6,3.75,2.06,3.63,3.88,2.0,3.3,3.75,2.03,3.49,3.68
150,3,3.4,3.4,2.3,3.46,3.39,2.29,3.2,3.2,2.3,3.33,3.28,2.26
151,3,2.6,3.3,3.0,2.55,3.32,3.06,2.5,3.1,3.0,2.52,3.22,2.92
152,3,1.3,6.0,11.0,1.32,5.9,10.9,1.33,4.8,10.0,1.3,5.56,10.18
153,2,2.9,3.5,2.55,2.92,3.56,2.52,2.9,3.2,2.5,2.85,3.4,2.48
154,1,2.9,3.3,2.63,2.86,3.31,2.71,2.75,3.0,2.75,2.8,3.2,2.64
155,2,2.63,3.3,2.9,2.63,3.33,2.94,2.62,3.1,2.8,2.55,3.19,2.89
